date,lang,label_GR,v2_NWO,subplatform,counts,platform
2013-01-05,ger,0,0,SZ,9,legnews
2013-01-05,ger,1,0,SZ,5,legnews
2013-01-07,ger,0,0,SZ,6,legnews
2013-01-07,ger,1,0,SZ,1,legnews
2013-01-08,ger,0,0,SZ,10,legnews
2013-01-08,ger,1,0,SZ,1,legnews
2013-01-09,ger,0,0,SZ,7,legnews
2013-01-09,ger,1,0,SZ,2,legnews
2013-01-19,ger,0,0,SZ,2,legnews
2013-01-19,ger,1,0,SZ,1,legnews
2013-01-21,ger,0,0,SZ,6,legnews
2013-01-21,ger,1,0,SZ,8,legnews
2013-01-22,ger,0,0,SZ,14,legnews
2013-01-22,ger,1,0,SZ,4,legnews
2013-01-23,ger,0,0,SZ,6,legnews
2013-01-23,ger,1,0,SZ,3,legnews
2013-01-24,ger,0,0,SZ,10,legnews
2013-01-24,ger,1,0,SZ,1,legnews
2013-01-25,ger,0,0,SZ,6,legnews
2013-01-25,ger,1,0,SZ,1,legnews
2013-01-26,ger,0,0,SZ,6,legnews
2013-01-26,ger,1,0,SZ,5,legnews
2013-01-28,ger,0,0,SZ,5,legnews
2013-01-28,ger,1,0,SZ,1,legnews
2013-01-29,ger,0,0,SZ,12,legnews
2013-01-29,ger,1,0,SZ,4,legnews
2013-01-30,ger,0,0,SZ,9,legnews
2013-01-30,ger,1,0,SZ,3,legnews
2013-01-31,ger,0,0,SZ,4,legnews
2013-01-31,ger,1,0,SZ,4,legnews
2013-02-01,ger,0,0,SZ,7,legnews
2013-02-02,ger,0,0,SZ,7,legnews
2013-02-02,ger,1,0,SZ,7,legnews
2013-02-04,ger,0,0,SZ,6,legnews
2013-02-04,ger,1,0,SZ,6,legnews
2013-02-05,ger,0,0,SZ,9,legnews
2013-02-05,ger,1,0,SZ,2,legnews
2013-02-06,ger,0,0,SZ,5,legnews
2013-02-06,ger,1,0,SZ,1,legnews
2013-02-07,ger,0,0,SZ,9,legnews
2013-02-07,ger,1,0,SZ,3,legnews
2013-02-08,ger,0,0,SZ,5,legnews
2013-02-08,ger,1,0,SZ,4,legnews
2013-02-09,ger,0,0,SZ,8,legnews
2013-02-09,ger,1,0,SZ,4,legnews
