date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-09-10,eng,0,0,WP,1,legnews
2011-09-11,eng,0,0,WP,5,legnews
2011-09-12,eng,0,0,WP,1,legnews
2011-09-12,eng,1,0,WP,1,legnews
2011-09-13,eng,1,0,WP,1,legnews
2011-09-14,eng,0,0,WP,2,legnews
2011-09-15,eng,0,0,WP,6,legnews
2011-09-16,eng,0,0,WP,2,legnews
2011-09-17,eng,0,0,WP,1,legnews
2011-09-18,eng,0,0,WP,5,legnews
2011-09-19,eng,0,0,WP,2,legnews
2011-09-20,eng,0,0,WP,1,legnews
2011-09-20,eng,1,0,WP,1,legnews
2011-09-21,eng,0,0,WP,1,legnews
2011-09-22,eng,0,0,WP,3,legnews
2011-09-23,eng,0,0,WP,1,legnews
2011-09-25,eng,0,0,WP,3,legnews
2011-09-25,eng,1,0,WP,2,legnews
2011-09-26,eng,0,0,WP,1,legnews
2011-09-27,eng,0,0,WP,5,legnews
2011-09-28,eng,0,0,WP,2,legnews
2011-09-29,eng,0,0,WP,2,legnews
2011-09-30,eng,0,0,WP,1,legnews
2011-10-02,eng,0,0,WP,1,legnews
2011-10-04,eng,0,0,WP,4,legnews
2011-10-05,eng,0,0,WP,1,legnews
2011-10-06,eng,0,0,WP,3,legnews
2011-10-07,eng,0,0,WP,1,legnews
2011-10-09,eng,0,0,WP,5,legnews
2011-10-10,eng,0,0,WP,1,legnews
2011-10-13,eng,0,0,WP,2,legnews
2011-10-14,eng,0,0,WP,3,legnews
2011-10-16,eng,0,0,WP,4,legnews
2011-10-16,eng,1,1,WP,1,legnews
2011-10-18,eng,0,0,WP,3,legnews
2011-10-19,eng,0,0,WP,1,legnews
2011-10-20,eng,0,0,WP,2,legnews
2011-10-21,eng,0,0,WP,1,legnews
2011-10-22,eng,0,0,WP,2,legnews
2011-10-23,eng,0,1,WP,1,legnews
2011-10-25,eng,0,0,WP,2,legnews
2011-10-25,eng,1,0,WP,1,legnews
2011-10-26,eng,0,0,WP,2,legnews
2011-10-27,eng,0,0,WP,2,legnews
2011-10-28,eng,0,0,WP,2,legnews
2011-10-28,eng,1,0,WP,1,legnews
2011-10-29,eng,0,0,WP,2,legnews
2011-10-30,eng,0,0,WP,3,legnews
2011-10-30,eng,1,0,WP,1,legnews
2011-10-31,eng,0,0,WP,2,legnews
2011-10-31,eng,1,0,WP,1,legnews
2011-11-02,eng,0,0,WP,2,legnews
2011-11-04,eng,0,0,WP,1,legnews
2011-11-05,eng,0,0,WP,2,legnews
2011-11-06,eng,0,0,WP,6,legnews
2011-11-06,eng,1,0,WP,1,legnews
2011-11-07,eng,0,0,WP,4,legnews
2011-11-08,eng,0,0,WP,4,legnews
2011-11-09,eng,0,0,WP,1,legnews
2011-11-09,eng,1,0,WP,1,legnews
2011-11-10,eng,0,0,WP,8,legnews
2011-11-11,eng,0,0,WP,6,legnews
2011-11-11,eng,0,1,WP,1,legnews
2011-11-12,eng,0,0,WP,1,legnews
2011-11-13,eng,0,0,WP,3,legnews
2011-11-15,eng,0,0,WP,3,legnews
2011-11-15,eng,1,0,WP,2,legnews
2011-11-16,eng,0,0,WP,1,legnews
2011-11-16,eng,1,0,WP,1,legnews
2011-11-17,eng,0,0,WP,4,legnews
2011-11-18,eng,0,0,WP,4,legnews
2011-11-20,eng,0,0,WP,3,legnews
2011-11-20,eng,1,0,WP,1,legnews
2011-11-21,eng,0,0,WP,1,legnews
2011-11-22,eng,0,0,WP,1,legnews
2011-11-22,eng,1,0,WP,1,legnews
2011-11-23,eng,0,0,WP,1,legnews
2011-11-24,eng,0,0,WP,6,legnews
2011-11-25,eng,0,0,WP,2,legnews
2011-11-27,eng,0,0,WP,6,legnews
2011-11-27,eng,1,0,WP,2,legnews
2011-11-28,eng,0,0,WP,1,legnews
2011-11-30,eng,1,0,WP,1,legnews
2011-12-01,eng,0,0,WP,10,legnews
2011-12-02,eng,0,0,WP,3,legnews
2011-12-02,eng,1,0,WP,1,legnews
2011-12-03,eng,1,0,WP,1,legnews
2011-12-04,eng,0,0,WP,3,legnews
2011-12-06,eng,0,0,WP,2,legnews
2011-12-07,eng,1,0,WP,3,legnews
2011-12-08,eng,0,0,WP,5,legnews
2011-12-09,eng,0,0,WP,3,legnews
2011-12-09,eng,1,0,WP,1,legnews
2011-12-10,eng,0,0,WP,1,legnews
2011-12-10,eng,1,0,WP,1,legnews
2011-12-12,eng,0,0,WP,1,legnews
2011-12-13,eng,0,0,WP,3,legnews
2011-12-14,eng,1,0,WP,1,legnews
2011-12-15,eng,0,0,WP,7,legnews
2011-12-15,eng,1,0,WP,1,legnews
2011-12-16,eng,0,0,WP,4,legnews
2011-12-16,eng,1,0,WP,1,legnews
2011-12-18,eng,0,0,WP,4,legnews
2011-12-18,eng,1,0,WP,2,legnews
2011-12-19,eng,0,0,WP,2,legnews
